Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,19.344999,19.892500,19.100000,19.129999,19.129999,130715200
2020-05-20,19.802500,20.377501,19.802500,20.250000,20.250000,142708000
2020-05-21,20.309999,20.480000,19.482500,19.627501,19.627501,161346800
2020-05-22,19.522499,19.872499,19.262501,19.805000,19.805000,104832400
2020-05-26,20.762501,20.830000,19.594999,19.722500,19.722500,122601200
2020-05-27,19.527500,20.010000,18.344999,20.000000,20.000000,173645600
2020-05-28,19.650000,20.802500,19.637501,19.872499,19.872499,151996400
2020-05-29,20.010000,20.830000,19.580000,20.692499,20.692499,179246400
2020-06-01,20.514999,21.059999,20.407499,20.947500,20.947500,104940800
2020-06-02,21.059999,21.387501,20.410000,21.365000,21.365000,125357200
2020-06-03,21.537500,21.872499,21.302500,21.655001,21.655001,107516800
2020-06-04,21.557501,21.969999,20.840000,21.215000,21.215000,133204400
2020-06-05,21.475000,22.632500,21.375000,22.472500,22.472500,140697200
2020-06-08,22.397499,23.020000,21.975000,22.972500,22.972500,109272400
2020-06-09,22.722500,23.745001,22.684999,23.485001,23.485001,106589600
2020-06-10,23.990000,24.805000,23.844999,24.332500,24.332500,151455600
2020-06-11,23.145000,23.552500,20.705000,20.750000,20.750000,191666000
2020-06-12,22.072500,22.412500,20.107500,21.200001,21.200001,205938400
2020-06-15,20.270000,22.170000,20.014999,21.947500,21.947500,199092400
2020-06-16,23.347500,23.530001,22.077499,23.107500,23.107500,191608800
2020-06-17,23.542500,23.865000,23.100000,23.332500,23.332500,129429200
2020-06-18,23.235001,23.590000,23.010000,23.512501,23.512501,106392800
2020-06-19,24.242500,24.307501,22.990000,23.480000,23.480000,144975200
2020-06-22,23.477501,24.387501,23.377501,24.315001,24.315001,110066800
2020-06-23,24.842501,25.655001,24.665001,24.950001,24.950001,117449200
2020-06-24,24.725000,25.117500,22.962500,23.480000,23.480000,196410800
2020-06-25,23.477501,24.180000,22.684999,24.102501,24.102501,150851600
2020-06-26,24.004999,24.075001,22.225000,22.370001,22.370001,187970400
2020-06-29,22.302500,23.107500,21.570000,23.084999,23.084999,129804800
2020-06-30,23.080000,24.620001,23.032499,24.412500,24.412500,125694400
2020-07-01,24.465000,25.617500,24.309999,25.285000,25.285000,126068800
2020-07-02,26.072500,26.467501,25.684999,25.822500,25.822500,114076000
2020-07-06,26.825001,27.895000,26.822500,27.719999,27.719999,105992000
2020-07-07,27.637501,28.540001,27.059999,27.174999,27.174999,123049600
2020-07-08,27.607500,28.235001,27.122499,28.219999,28.219999,119965600
2020-07-09,28.852501,29.167500,27.465000,28.924999,28.924999,158798000
2020-07-10,28.855000,29.612499,27.972500,29.537500,29.537500,121394800
2020-07-13,30.512501,31.487499,27.422501,27.712500,27.712500,187292400
2020-07-14,26.897499,28.430000,25.847500,28.299999,28.299999,229875600
2020-07-15,28.715000,29.055000,27.347500,28.440001,28.440001,183772000
2020-07-16,27.510000,28.090000,26.747499,27.830000,27.830000,149986000
2020-07-17,28.040001,28.260000,27.250000,27.959999,27.959999,115501600
2020-07-20,28.200001,30.557501,27.772499,30.340000,30.340000,125810800
2020-07-21,30.897499,30.917500,29.100000,29.370001,29.370001,147156800
2020-07-22,29.542500,30.032499,28.912500,29.709999,29.709999,113894400
2020-07-23,29.577499,29.809999,26.892500,27.382500,27.382500,168324400
2020-07-24,26.127501,27.040001,25.252501,26.572500,26.572500,178609200
2020-07-27,27.147499,28.137501,26.870001,28.000000,28.000000,133812000
2020-07-28,27.770000,27.927500,26.842501,26.947500,26.947500,119351200
2020-07-29,27.422501,28.152500,27.287500,27.865000,27.865000,97140400
2020-07-30,27.225000,28.492500,26.840000,28.317499,28.317499,151100000
2020-07-31,29.830000,29.875000,28.219999,29.844999,29.844999,179907600
2020-08-03,30.562500,31.282499,30.514999,30.957500,30.957500,108934000
2020-08-04,30.830000,31.405001,30.584999,31.360001,31.360001,105504000
2020-08-05,31.537500,31.767500,31.227501,31.610001,31.610001,81190800
2020-08-06,31.527500,32.982498,31.305000,32.820000,32.820000,96032000
2020-08-07,32.654999,32.955002,30.922501,31.747499,31.747499,148354000
2020-08-10,31.817499,31.902500,30.042500,31.320000,31.320000,127155600
2020-08-11,30.889999,31.362499,29.347500,29.542500,29.542500,155136800
2020-08-12,30.275000,32.090000,30.275000,31.752501,31.752501,110623600
2020-08-13,32.020000,32.794998,31.632500,31.975000,31.975000,117140800
2020-08-14,32.165001,32.297501,31.352501,31.882500,31.882500,99868800
2020-08-17,32.467499,33.090000,32.415001,32.935001,32.935001,63332400
2020-08-18,33.357498,34.099998,32.822498,33.902500,33.902500,74656800
2020-08-19,33.897499,34.302502,33.072498,33.240002,33.240002,102923600
2020-08-20,32.937500,34.797501,32.792500,34.607498,34.607498,76387200
2020-08-21,34.665001,35.502499,34.447498,35.330002,35.330002,82140000
2020-08-24,36.552502,36.889999,35.110001,35.985001,35.985001,125692000
2020-08-25,35.707500,36.862499,35.517502,36.825001,36.825001,86278400
2020-08-26,37.317501,39.262501,37.270000,39.182499,39.182499,109831600
2020-08-27,39.645000,39.967499,37.895000,38.827499,38.827499,151301200
2020-08-28,39.322498,39.682499,38.787498,39.427502,39.427502,99072800
2020-08-31,39.634998,41.134998,39.455002,40.340000,40.340000,90199200
2020-09-01,41.480000,42.492500,40.737499,42.435001,42.435001,96573600
2020-09-02,43.869999,43.917500,41.167500,43.632500,43.632500,144684800
